ticker,market_cap,beta,P/E
CSX,91.067B,1.22,30.07
GMBXF,90.306B,1.05,16.34
ITUB,90.049B,0.16,10.21
BYDDY,92.448B,0.26,34.97
ESLOF,89.014B,0.53,34.16
WMB,88.637B,0.60,31.79
INGVF,88.389B,0.90,12.41
JCI,87.698B,1.34,43.96
MELI,89.789B,1.35,46.84
PSBKF,88.1B,0.39,6.08
ABNB,87.803B,1.16,36.53
NET,86.211B,1.67,N/A
HCA,91.806B,1.13,14.26
GPMXY,87.114B,1.05,15.76
SNPS,85.277B,1.21,102.15
FCX,86.785B,1.36,31.94
ATLCY,85.961B,1.07,32.04
LYG,88.547B,0.92,15.22
OVCHF,85.754B,0.19,14.92
OVCHY,87.707B,0.19,15.32
SHW,85.39B,1.13,33.23
TKOMF,84.86B,-0.17,25.66
CMCSA,83.93B,0.66,4.61
TKOMY,89.448B,-0.17,27.05
CEG,85.783B,1.09,20.85
LLDTF,84.356B,0.92,14.50
ADBE,86.794B,1.40,12.48
CME,85.306B,0.24,20.16
MMM,84.035B,1.10,31.10
KKR,87.985B,1.79,32.10
NTES,81.294B,0.80,16.31
MRSH,84.386B,0.61,21.89
ATLFF,82.839B,1.07,30.87
SHECY,81.82B,1.08,28.21
BE,79.373B,3.75,N/A
DASH,83.092B,1.81,89.95
RCL,79.482B,1.78,18.08
MCO,84.522B,1.34,34.66
ITOCF,81.712B,0.55,14.80
WEBNF,81.616B,0.73,17.07
MGCLY,83.442B,0.55,12.74
CNQ,82.625B,0.88,12.00
NGGTF,80.955B,0.60,18.92
ACN,83.469B,1.07,10.89
GLCNF,80.501B,0.51,227.33
VLO,80.083B,0.55,19.70
ITOCY,82.201B,0.55,14.89
NGG,82.378B,0.60,19.16
SHECF,79.477B,1.08,27.40
MITSY,80.651B,0.42,15.83
MITSF,79.088B,0.42,15.50
EPD,79.553B,0.47,13.62
GLNCY,79.782B,0.51,227.00
VCISF,78.642B,0.75,14.43
NABZY,82.044B,0.72,19.42
ENGQF,78.586B,0.58,17.98
MHVYF,78.965B,0.37,36.15
ECL,78.779B,0.91,37.93
NAUBF,78.248B,0.72,18.52
VCISY,79.61B,0.75,14.63
EMR,78.403B,1.25,32.33
NETTF,77.719B,0.80,15.55
EQNR,79.604B,-0.75,14.47
AEM,76.516B,0.57,14.41
ITW,78.122B,1.03,25.24
AMT,78.552B,0.89,27.24
MPC,77.657B,0.52,17.52
MHVIY,78.965B,0.37,36.72
MIELF,77.073B,0.77,30.87
STOHF,76.991B,-0.75,14.00
AMX,77.778B,0.23,15.70
ENGIY,78.693B,0.58,18.01
ORLY,77.153B,0.52,30.33
USB-PH,N/A,1.00,4.00
CP,78.773B,1.21,28.17
MDLZ,77.25B,0.40,29.79
MIELY,76.025B,0.77,30.33
HLT,76.321B,1.05,51.26
PSTVY,75.594B,0.39,5.22
NPPXF,74.91B,-0.18,11.50
FDX,74.733B,1.30,16.71
CMCLY,74.387B,1.03,21.27
CL,75.534B,0.32,36.59
AMXOF,73.874B,0.23,15.38
ALAB,71.58B,3.96,286.03
NOC,76.42B,-0.12,16.86
BAESF,73.57B,-0.07,27.88
AEP,74.45B,0.52,20.21
CHGCY,76.66B,0.55,28.75
AON,75.047B,0.71,19.30
CI,74.838B,0.30,12.00
TDG,74.653B,0.89,41.62
BAESY,78.554B,-0.07,29.85
INTU,74.684B,0.96,16.65
NOKBF,69.893B,0.78,78.25
